"","country","v1","v2","v3","v4","v5","v6","v8","v9","v10"
"494",40,2,1,1,2,1,1,2,3,3
"495",40,2,2,2,3,4,2,4,4,4
"496",40,1,1,2,1,3,3,2,2,3
"497",40,1,1,1,2,1,3,4,4,4
"498",40,1,1,2,2,4,2,4,4,1
"499",40,1,1,1,2,3,1,1,3,1
"500",40,1,1,3,1,3,1,4,4,1
"501",40,1,1,1,2,3,2,2,3,4
"502",40,1,1,1,2,4,2,2,4,4
"503",40,1,1,2,2,2,2,2,3,3
"504",40,1,1,1,2,3,3,3,2,2
"505",40,2,1,3,1,4,4,3,3,1
"506",40,2,1,2,2,3,3,3,3,2
"507",40,1,1,2,2,3,2,2,2,1
"508",40,2,1,1,1,3,3,3,3,2
"509",40,1,1,2,1,4,4,4,4,1
"510",40,1,1,1,2,3,4,NA,3,1
"511",40,2,1,1,1,3,1,3,3,2
"512",40,2,1,1,1,3,3,3,3,2
"513",40,1,1,1,1,1,2,2,2,3
"514",40,1,1,1,1,2,1,NA,NA,2
"515",40,1,1,1,2,2,2,2,2,2
"516",40,1,1,2,2,3,3,3,2,3
"517",40,2,1,2,3,2,4,3,4,2
"518",40,1,1,1,1,2,2,2,2,3
"519",40,3,1,3,1,3,4,3,3,2
"520",40,1,1,1,2,3,2,2,2,3
"521",40,1,1,2,3,4,1,3,3,2
"522",40,2,1,2,3,1,1,3,3,2
"523",40,1,1,1,1,3,2,4,4,2
"524",40,1,1,2,1,2,3,3,2,2
"525",40,1,1,1,2,2,1,3,2,2
"526",40,1,1,2,3,4,2,2,2,2
"527",40,2,1,1,3,3,2,3,3,2
"528",40,2,1,1,2,3,2,3,3,2
"529",40,1,1,2,2,3,2,3,3,1
"530",40,1,1,2,2,1,2,2,3,3
"531",40,1,1,1,1,3,2,3,3,2
"532",40,1,1,2,2,3,3,2,2,1
"533",40,1,1,2,3,2,2,1,3,4
"534",40,1,1,1,1,3,4,2,3,3
"535",40,1,1,2,2,2,1,3,2,1
"536",40,1,1,2,2,3,1,2,3,1
"537",40,1,1,2,2,1,1,2,3,3
"538",40,2,1,2,1,3,2,3,3,1
"539",40,1,1,1,1,1,3,2,1,3
"540",40,1,1,3,2,4,3,3,2,4
"541",40,2,1,1,1,1,2,3,4,2
"542",40,1,1,1,2,4,1,3,4,1
"543",40,1,1,2,2,2,2,3,4,NA
"544",40,1,1,2,2,4,1,4,4,1
"545",40,1,1,1,1,2,1,3,3,2
"546",40,1,1,1,2,3,2,3,3,1
"547",40,1,1,1,2,3,1,3,4,1
"548",40,2,1,1,1,4,2,4,4,1
"549",40,1,1,1,2,2,1,3,3,3
"550",40,2,1,2,1,4,3,3,4,1
"551",40,1,1,2,2,2,1,2,1,2
"552",40,1,1,1,1,3,3,4,4,1
"553",40,1,1,2,2,3,3,3,3,2
"554",40,1,1,2,1,3,2,2,3,1
"555",40,1,1,2,3,4,4,3,3,3
"556",40,2,1,3,2,3,2,2,2,2
"557",40,2,1,1,3,3,3,3,3,2
"558",40,1,1,1,1,2,1,2,2,1
"559",40,1,1,2,1,2,1,3,3,1
"560",40,2,1,2,2,1,2,1,2,3
"561",40,2,1,2,1,4,3,4,4,1
"562",40,3,1,2,2,2,3,4,4,2
"563",40,2,1,1,1,3,4,2,1,3
"564",40,1,2,2,3,1,4,2,2,2
"565",40,1,1,1,1,2,4,1,4,4
"566",40,4,1,2,1,2,2,3,3,3
"567",40,1,1,2,2,1,3,3,3,2
"568",40,1,1,3,2,1,1,2,4,1
"569",40,3,1,2,2,3,3,2,2,2
"570",40,1,1,2,3,3,2,2,2,3
"571",40,2,1,1,1,3,3,2,2,2
"572",40,1,1,2,2,3,2,3,3,3
"573",40,2,1,3,2,2,2,2,1,4
"574",40,2,1,1,1,3,2,2,2,2
"575",40,1,2,2,2,1,1,4,4,1
"576",40,1,1,2,2,3,1,3,3,3
"577",40,2,1,2,2,4,2,2,2,2
"578",40,1,1,1,1,4,2,2,2,1
"579",40,1,1,2,1,4,4,2,2,2
"580",40,2,1,2,2,3,3,3,2,2
"581",40,1,1,1,2,2,2,1,2,4
"582",40,1,1,2,2,3,2,2,2,3
"583",40,1,1,2,2,2,3,3,3,2
"584",40,1,1,2,3,2,1,3,4,NA
"585",40,1,1,1,2,2,1,2,3,3
"586",40,1,2,3,2,2,1,3,3,1
"587",40,1,1,2,2,3,2,1,2,4
"588",40,1,1,2,1,3,4,3,3,2
"589",40,1,1,2,1,3,3,3,3,1
"590",40,1,1,2,1,2,2,2,3,1
"591",40,2,2,3,2,4,2,2,2,1
"592",40,1,1,2,3,3,2,3,3,2
"593",40,NA,1,1,1,2,3,3,3,2
"594",40,1,1,2,2,2,2,4,4,2
"595",40,2,1,2,1,3,2,2,2,1
"596",40,1,1,NA,2,4,2,NA,NA,2
"597",40,1,1,3,2,3,4,3,3,2
"598",40,1,1,2,3,2,3,3,3,1
"599",40,3,1,2,3,3,2,NA,NA,2
